id,internalId,related_id,slug,title,duration,viewedCount,presenterDisplayName
567505,147074,121643,mary_ann_sieghart_why_are_women_still_taken_less_seriously_than_men,Why are women still taken less seriously than men?,769,714134,Mary Ann Sieghart
567505,147074,87043,emily_pilloton_lam_what_if_women_built_the_world_they_want_to_see,What if women built the world they want to see?,774,2748931,Emily Pilloton-Lam
567505,147074,88795,lilly_singh_a_seat_at_the_table_isn_t_the_solution_for_gender_equity,"""A seat at the table"" isn't the solution for gender equity",1195,2558808,Lilly Singh
568452,147664,141972,ted_health_a_healthier_you_a_5_step_guide_to_better_doctor_visits,A Healthier You: A 5-step guide to better doctor visits,680,238141,TED Health
568452,147664,126807,ted_health_the_bias_behind_your_undiagnosed_chronic_pain,The bias behind your undiagnosed chronic pain ,1176,514205,TED Health
568452,147664,145816,ted_health_a_healthier_you_a_cardiologist_s_guide_to_protecting_your_heart,A Healthier You: A cardiologist's guide to protecting your heart,1392,325133,TED Health
563142,144912,101891,joshua_paul_dale_why_do_you_want_to_squeeze_cute_things,Why do you want to squeeze cute things?,329,1351918,Joshua Paul Dale
563142,144912,23786,claudia_aguirre_does_stress_cause_pimples,Does stress cause pimples?,223,1315534,Claudia Aguirre
563142,144912,73027,thomas_l_dawson_what_causes_dandruff_and_how_do_you_get_rid_of_it,"What causes dandruff, and how do you get rid of it?",291,13216382,Thomas L. Dawson
567142,146850,2883,helen_pearson_lessons_from_the_longest_study_on_human_development,Lessons from the longest study on human development,736,3028411,Helen Pearson
567142,146850,145825,michael_bungay_stanier_how_to_tame_your_advice_monster_feb_2025,How to tame your advice monster,847,292255,Michael Bungay Stanier
567142,146850,144704,margaux_miller_6_ways_to_make_better_connections_online,6 ways to make better connections online,671,338341,Margaux Miller
567142,146850,1592,melissa_marshall_talk_nerdy_to_me,Talk nerdy to me,257,3003971,Melissa Marshall
567142,146850,1485,e_o_wilson_advice_to_a_young_scientist,Advice to a young scientist,879,1473645,E.O. Wilson
567142,146850,1823,eric_berlow_and_sean_gourley_mapping_ideas_worth_spreading,Mapping ideas worth spreading,462,1165105,Eric Berlow and Sean Gourley
